Ned_ID,IR_detection,id,goal,feedback
Ned2 n.1,1,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2160, y = 0.2975, z = 0.1540
roll = -3.037, pitch = 1.097, yaw = -3.051"
Ned2 n.1,1,Conveyor starting point,"[0.2503, 0.2699, 0.1607, 1.495, 1.513, 3.088]","x = 0.2496, y = 0.2695, z = 0.1603
roll = 1.661, pitch = 1.494, yaw = -3.056"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1819, y = 0.0013, z = 0.2845
roll = -2.887, pitch = 1.447, yaw = -2.830"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1770, y = -0.0005, z = 0.2881
roll = -2.832, pitch = 1.458, yaw = -2.795"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1796, y = -0.0003, z = 0.2842
roll = -2.907, pitch = 1.447, yaw = -2.866"
Ned2 n.1,1,reload_point,"[0.0441, 0.2917, 0.2168, 3.135, 1.132, -3.078]","x = 0.0503, y = 0.2899, z = 0.2189
roll = 3.129, pitch = 1.135, yaw = -3.093"
Ned2 n.1,1,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2130, y = 0.3006, z = 0.1756
roll = -3.090, pitch = 1.153, yaw = -3.066"
Ned2 n.1,1,pickpoint,"[0.2104, 0.297, 0.147, -2.988, 1.072, -3.002]","x = 0.2179, y = 0.2981, z = 0.1588
roll = -3.025, pitch = 1.116, yaw = -3.010"
Ned2 n.1,1,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2189, y = 0.2972, z = 0.1588
roll = -3.035, pitch = 1.114, yaw = -3.032"
Ned2 n.1,1,Conveyor starting point,"[0.2503, 0.2699, 0.1607, 1.495, 1.513, 3.088]","x = 0.2498, y = 0.2697, z = 0.1609
roll = 1.590, pitch = 1.501, yaw = -3.113"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1788, y = -0.0002, z = 0.2859
roll = -2.866, pitch = 1.453, yaw = -2.823"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1770, y = -0.0005, z = 0.2881
roll = -2.832, pitch = 1.458, yaw = -2.795"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1818, y = 0.0000, z = 0.2814
roll = -2.941, pitch = 1.448, yaw = -2.914"
Ned2 n.1,1,Build_point_2,"[-0.0269, -0.3314, 0.1455, 1.227, 1.566, 1.272]","x = -0.0246, y = -0.3306, z = 0.1566
roll = -2.744, pitch = 1.566, yaw = -2.760"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1776, y = -0.0063, z = 0.2873
roll = -2.818, pitch = 1.456, yaw = -2.819"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1770, y = -0.0006, z = 0.2881
roll = -2.815, pitch = 1.458, yaw = -2.783"
Ned2 n.1,1,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2256, y = 0.2922, z = 0.1774
roll = -3.052, pitch = 1.139, yaw = -3.021"
Ned2 n.1,1,pickpoint,"[0.2104, 0.297, 0.147, -2.988, 1.072, -3.002]","x = 0.2171, y = 0.2978, z = 0.1582
roll = -3.021, pitch = 1.099, yaw = -3.006"
Ned2 n.1,1,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2210, y = 0.2976, z = 0.1626
roll = -3.050, pitch = 1.127, yaw = -3.044"
Ned2 n.1,1,Conveyor starting point,"[0.2503, 0.2699, 0.1607, 1.495, 1.513, 3.088]","x = 0.2489, y = 0.2707, z = 0.1607
roll = 1.722, pitch = 1.488, yaw = -3.053"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1834, y = 0.0025, z = 0.2839
roll = -2.916, pitch = 1.443, yaw = -2.846"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1770, y = -0.0005, z = 0.2881
roll = -2.832, pitch = 1.458, yaw = -2.795"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1798, y = -0.0002, z = 0.2839
roll = -2.909, pitch = 1.446, yaw = -2.881"
Ned2 n.1,1,reload_point,"[0.0441, 0.2917, 0.2168, 3.135, 1.132, -3.078]","x = 0.0519, y = 0.2893, z = 0.2195
roll = 3.119, pitch = 1.135, yaw = -3.107"
Ned2 n.1,1,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2098, y = 0.3012, z = 0.1765
roll = -3.087, pitch = 1.151, yaw = -3.059"
Ned2 n.1,1,pickpoint,"[0.2104, 0.297, 0.147, -2.988, 1.072, -3.002]","x = 0.2167, y = 0.2977, z = 0.1562
roll = -3.014, pitch = 1.109, yaw = -3.003"
Ned2 n.1,1,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2210, y = 0.2975, z = 0.1617
roll = -3.049, pitch = 1.130, yaw = -3.044"
Ned2 n.1,1,Conveyor starting point,"[0.2503, 0.2699, 0.1607, 1.495, 1.513, 3.088]","x = 0.2488, y = 0.2708, z = 0.1604
roll = 1.754, pitch = 1.484, yaw = -3.031"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1819, y = 0.0015, z = 0.2845
roll = -2.889, pitch = 1.447, yaw = -2.829"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1770, y = -0.0005, z = 0.2881
roll = -2.835, pitch = 1.458, yaw = -2.795"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1807, y = 0.0001, z = 0.2831
roll = -2.908, pitch = 1.456, yaw = -2.857"
Ned2 n.1,1,reload_point,"[0.0441, 0.2917, 0.2168, 3.135, 1.132, -3.078]","x = 0.0501, y = 0.2899, z = 0.2190
roll = 3.130, pitch = 1.131, yaw = -3.093"
Ned2 n.1,1,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2153, y = 0.3000, z = 0.1747
roll = -3.088, pitch = 1.151, yaw = -3.067"
Ned2 n.1,1,pickpoint,"[0.2104, 0.297, 0.147, -2.988, 1.072, -3.002]","x = 0.2159, y = 0.2979, z = 0.1547
roll = -3.020, pitch = 1.106, yaw = -3.012"
Ned2 n.1,1,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2192, y = 0.2975, z = 0.1591
roll = -3.040, pitch = 1.119, yaw = -3.041"
Ned2 n.1,1,Conveyor starting point,"[0.2503, 0.2699, 0.1607, 1.495, 1.513, 3.088]","x = 0.2498, y = 0.2697, z = 0.1604
roll = 1.622, pitch = 1.501, yaw = -3.084"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1832, y = 0.0021, z = 0.2842
roll = -2.899, pitch = 1.444, yaw = -2.833"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1772, y = -0.0004, z = 0.2881
roll = -2.836, pitch = 1.462, yaw = -2.799"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1849, y = -0.0002, z = 0.2769
roll = -2.948, pitch = 1.444, yaw = -2.924"
Ned2 n.1,1,Build_point_3,"[-0.0576, -0.3339, 0.1477, -3.112, 1.49, -3.083]","x = -0.0571, y = -0.3334, z = 0.1516
roll = -3.125, pitch = 1.489, yaw = -3.123"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1773, y = -0.0046, z = 0.2875
roll = -2.835, pitch = 1.455, yaw = -2.827"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1770, y = -0.0005, z = 0.2881
roll = -2.827, pitch = 1.458, yaw = -2.795"
Ned2 n.1,1,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2240, y = 0.2948, z = 0.1736
roll = -3.033, pitch = 1.132, yaw = -3.005"
Ned2 n.1,1,pickpoint,"[0.2104, 0.297, 0.147, -2.988, 1.072, -3.002]","x = 0.2203, y = 0.2971, z = 0.1649
roll = -3.010, pitch = 1.110, yaw = -2.982"
Ned2 n.1,1,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2171, y = 0.2972, z = 0.1554
roll = -3.028, pitch = 1.104, yaw = -3.034"
Ned2 n.1,1,Conveyor starting point,"[0.2503, 0.2699, 0.1607, 1.495, 1.513, 3.088]","x = 0.2492, y = 0.2700, z = 0.1609
roll = 1.636, pitch = 1.497, yaw = -3.081"
Ned2 n.1,0,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1799, y = 0.0001, z = 0.2852
roll = -2.866, pitch = 1.453, yaw = -2.822"
Ned2 n.1,0,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1772, y = -0.0005, z = 0.2881
roll = -2.821, pitch = 1.461, yaw = -2.786"
Ned2 n.1,0,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1823, y = 0.0000, z = 0.2809
roll = -2.917, pitch = 1.447, yaw = -2.865"
Ned2 n.1,0,reload_point,"[0.0441, 0.2917, 0.2168, 3.135, 1.132, -3.078]","x = 0.0655, y = 0.2841, z = 0.2246
roll = 3.085, pitch = 1.143, yaw = 3.118"
Ned2 n.1,0,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2167, y = 0.2998, z = 0.1745
roll = -3.090, pitch = 1.155, yaw = -3.070"
Ned2 n.1,0,pickpoint,"[0.2104, 0.297, 0.147, -2.988, 1.072, -3.002]","x = 0.2137, y = 0.2976, z = 0.1519
roll = -3.005, pitch = 1.090, yaw = -3.004"
Ned2 n.1,0,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2151, y = 0.2971, z = 0.1534
roll = -3.021, pitch = 1.091, yaw = -3.027"
Ned2 n.1,0,Conveyor starting point,"[0.2503, 0.2699, 0.1607, 1.495, 1.513, 3.088]","x = 0.2492, y = 0.2700, z = 0.1604
roll = 1.643, pitch = 1.497, yaw = -3.081"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1818, y = 0.0015, z = 0.2845
roll = -2.894, pitch = 1.446, yaw = -2.832"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1774, y = -0.0004, z = 0.2881
roll = -2.823, pitch = 1.466, yaw = -2.785"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1797, y = -0.0003, z = 0.2845
roll = -2.869, pitch = 1.452, yaw = -2.841"
Ned2 n.1,1,reload_point,"[0.0441, 0.2917, 0.2168, 3.135, 1.132, -3.078]","x = 0.0528, y = 0.2890, z = 0.2199
roll = 3.118, pitch = 1.136, yaw = -3.111"
Ned2 n.1,1,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2078, y = 0.3014, z = 0.1769
roll = -3.082, pitch = 1.149, yaw = -3.054"
Ned2 n.1,1,pickpoint,"[0.2104, 0.297, 0.147, -2.988, 1.072, -3.002]","x = 0.2168, y = 0.2980, z = 0.1571
roll = -3.021, pitch = 1.110, yaw = -3.010"
Ned2 n.1,1,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2198, y = 0.2972, z = 0.1594
roll = -3.036, pitch = 1.119, yaw = -3.035"
Ned2 n.1,1,Conveyor starting point,"[0.2503, 0.2699, 0.1607, 1.495, 1.513, 3.088]","x = 0.2487, y = 0.2705, z = 0.1609
roll = 1.740, pitch = 1.489, yaw = -3.041"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1819, y = 0.0015, z = 0.2845
roll = -2.886, pitch = 1.447, yaw = -2.829"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1772, y = -0.0005, z = 0.2881
roll = -2.823, pitch = 1.461, yaw = -2.786"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1810, y = -0.0003, z = 0.2820
roll = -2.907, pitch = 1.441, yaw = -2.879"
Ned2 n.1,1,Build_point_4,"[-0.0378, -0.3307, 0.1594, 3.087, 1.488, 3.119]","x = -0.0352, y = -0.3300, z = 0.1680
roll = -3.008, pitch = 1.487, yaw = -3.034"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1772, y = -0.0041, z = 0.2878
roll = -2.817, pitch = 1.456, yaw = -2.807"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1770, y = -0.0006, z = 0.2881
roll = -2.812, pitch = 1.458, yaw = -2.783"
Ned2 n.1,0,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1760, y = -0.0003, z = 0.2880
roll = -2.864, pitch = 1.439, yaw = -2.832"
Ned2 n.1,0,reload_point,"[0.0441, 0.2917, 0.2168, 3.135, 1.132, -3.078]","x = 0.0656, y = 0.2828, z = 0.2251
roll = 3.127, pitch = 1.128, yaw = -3.120"
Ned2 n.1,0,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1760, y = -0.0005, z = 0.2880
roll = -2.875, pitch = 1.439, yaw = -2.844"
Ned2 n.1,0,reload_point,"[0.0441, 0.2917, 0.2168, 3.135, 1.132, -3.078]","x = 0.0553, y = 0.2872, z = 0.2208
roll = -3.130, pitch = 1.125, yaw = -3.078"
Ned2 n.1,0,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1761, y = -0.0006, z = 0.2880
roll = -2.862, pitch = 1.440, yaw = -2.830"
Ned2 n.1,0,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2273, y = 0.2873, z = 0.1816
roll = -3.041, pitch = 1.129, yaw = -3.013"
Ned2 n.1,0,pickpoint,"[0.2104, 0.297, 0.147, -2.988, 1.072, -3.002]","x = 0.2162, y = 0.2969, z = 0.1600
roll = -2.978, pitch = 1.072, yaw = -2.955"
Ned2 n.1,0,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2165, y = 0.2966, z = 0.1552
roll = -3.013, pitch = 1.093, yaw = -3.016"
Ned2 n.1,0,Conveyor starting point,"[0.2503, 0.2699, 0.1607, 1.495, 1.513, 3.088]","x = 0.2492, y = 0.2691, z = 0.1603
roll = 1.743, pitch = 1.487, yaw = -2.962"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1821, y = 0.0018, z = 0.2843
roll = -2.917, pitch = 1.434, yaw = -2.856"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1768, y = -0.0004, z = 0.2878
roll = -2.870, pitch = 1.450, yaw = -2.832"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1788, y = -0.0001, z = 0.2850
roll = -2.905, pitch = 1.445, yaw = -2.856"
Ned2 n.1,1,reload_point,"[0.0441, 0.2917, 0.2168, 3.135, 1.132, -3.078]","x = 0.0478, y = 0.2900, z = 0.2181
roll = -3.131, pitch = 1.127, yaw = -3.064"
Ned2 n.1,1,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2138, y = 0.3000, z = 0.1752
roll = -3.076, pitch = 1.145, yaw = -3.052"
Ned2 n.1,1,pickpoint,"[0.2104, 0.297, 0.147, -2.988, 1.072, -3.002]","x = 0.2176, y = 0.2979, z = 0.1595
roll = -3.018, pitch = 1.111, yaw = -3.002"
Ned2 n.1,1,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2186, y = 0.2969, z = 0.1576
roll = -3.029, pitch = 1.111, yaw = -3.030"
Ned2 n.1,1,Conveyor starting point,"[0.2503, 0.2699, 0.1607, 1.495, 1.513, 3.088]","x = 0.2497, y = 0.2696, z = 0.1609
roll = 1.638, pitch = 1.500, yaw = -3.070"
Ned2 n.1,0,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1848, y = 0.0033, z = 0.2833
roll = -2.918, pitch = 1.437, yaw = -2.843"
Ned2 n.1,0,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1769, y = -0.0005, z = 0.2881
roll = -2.841, pitch = 1.455, yaw = -2.804"
Ned2 n.1,0,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1769, y = -0.0005, z = 0.2881
roll = -2.841, pitch = 1.455, yaw = -2.804"
Ned2 n.1,0,reload_point,"[0.0441, 0.2917, 0.2168, 3.135, 1.132, -3.078]","x = 0.0663, y = 0.2833, z = 0.2247
roll = 3.089, pitch = 1.143, yaw = 3.128"
Ned2 n.1,0,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2189, y = 0.2989, z = 0.1732
roll = -3.080, pitch = 1.151, yaw = -3.063"
Ned2 n.1,0,pickpoint,"[0.2104, 0.297, 0.147, -2.988, 1.072, -3.002]","x = 0.2124, y = 0.2978, z = 0.1508
roll = -2.999, pitch = 1.085, yaw = -2.996"
Ned2 n.1,0,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2124, y = 0.2973, z = 0.1493
roll = -3.004, pitch = 1.083, yaw = -3.009"
Ned2 n.1,0,Conveyor starting point,"[0.2503, 0.2699, 0.1607, 1.495, 1.513, 3.088]","x = 0.2494, y = 0.2702, z = 0.1610
roll = 1.691, pitch = 1.494, yaw = -3.055"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1856, y = 0.0039, z = 0.2834
roll = -2.926, pitch = 1.440, yaw = -2.845"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1770, y = -0.0005, z = 0.2881
roll = -2.835, pitch = 1.458, yaw = -2.795"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1840, y = -0.0005, z = 0.2780
roll = -2.903, pitch = 1.444, yaw = -2.875"
Ned2 n.1,1,reload_point,"[0.0441, 0.2917, 0.2168, 3.135, 1.132, -3.078]","x = 0.0697, y = 0.2822, z = 0.2256
roll = 3.072, pitch = 1.147, yaw = 3.102"
Ned2 n.1,1,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2189, y = 0.2989, z = 0.1732
roll = -3.082, pitch = 1.151, yaw = -3.063"
Ned2 n.1,1,pickpoint,"[0.2104, 0.297, 0.147, -2.988, 1.072, -3.002]","x = 0.2133, y = 0.2979, z = 0.1519
roll = -3.006, pitch = 1.092, yaw = -3.002"
Ned2 n.1,1,safe_pickpoint,"[0.2233, 0.2968, 0.1673, -3.02, 1.126, -3.0]","x = 0.2139, y = 0.2974, z = 0.1510
roll = -3.019, pitch = 1.091, yaw = -3.031"
Ned2 n.1,1,Conveyor starting point,"[0.2503, 0.2699, 0.1607, 1.495, 1.513, 3.088]","x = 0.2488, y = 0.2706, z = 0.1604
roll = 1.717, pitch = 1.490, yaw = -3.053"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1850, y = 0.0036, z = 0.2833
roll = -2.912, pitch = 1.442, yaw = -2.832"
Ned2 n.1,1,observe_point,"[0.176, -0.0005, 0.288, -2.879, 1.439, -2.844]","x = 0.1771, y = -0.0005, z = 0.2881
roll = -2.828, pitch = 1.460, yaw = -2.791"
